movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_tomato_audience,movie_tomato_tomatometer,movie_imdb_rating,movie_imdb_metascore,movie_average_score,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
FIFTY SHADES FREED,"$55,000,000.00 ","$100,407,760.00 ","$371,985,018.00 ",romance,37,11,4.5,31,31,"https://m.media-amazon.com/images/M/MV5BMTYxOTQ1MzI0Nl5BMl5BanBnXkFtZTgwMzgwMzIxNDM@._V1_UX67_CR0,0,67,98_AL_.jpg",James Foley,Dakota Johnson,Jamie Dornan,Eric Johnson,9-Feb,2018
FIFTY SHADES DARKER,"$55,000,000.00 ","$114,434,010.00 ","$381,367,046.00 ",romance,48,11,4.6,33,34.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Foley,Dakota Johnson,Jamie Dornan,Eric Johnson,10-Feb,2017
PINOCCHIO,"$13,200,000.00 ","$1,831,718.00 ","$30,360,375.00 ",comedy,28,29,5,38,36.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Robert Zemeckis,(voice),Tom Hanks,(voice),8-Sep,2022
THE BLUE LAGOON,"$4,500,000 ","$47,923,795 ","$47,923,795 ",romance,53,8,5.8,31,37.5,"https://m.media-amazon.com/images/M/MV5BOWU2ZDIxY2UtNzM5NS00MWUwLTkxN2QtMmI3NDZkNTA2OTYxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg",Randal Kleiser,Brooke Shields,Christopher Atkins,Leo McKern,2-Jul,1980
FIFTY SHADES OF GREY,"$40,000,000.00 ","$166,167,230.00 ","$570,794,950.00 ",romance,41,24,4.2,46,38.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sam Taylor-Johnson,Dakota Johnson,Jamie Dornan,Jennifer Ehle,13-Feb,2015
BLACKHAT,"$70,000,000.00 ","$8,005,980.00 ","$19,665,004.00 ",crime,24,33,5.4,51,40.5,"https://m.media-amazon.com/images/M/MV5BMTg1NDUyMzk5NV5BMl5BanBnXkFtZTgwOTk1NzUxMzE@._V1_UX67_CR0,0,67,98_AL_.jpg",Michael Mann,Chris Hemsworth,Viola Davis,Tang Wei,16-Jan,2015
THE BEST OF ME,"$26,000,000 ","$26,766,213 ","$41,059,418 ",romance,59,12,6.6,29,41.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Michael Hoffman,James Marsden,Michelle Monaghan,Luke Bracey,17-Oct,2014
LEAP YEAR,"$19,000,000 ","$25,918,920 ","$32,618,920 ",romance,47,23,6.4,33,41.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Anand Tucker,Amy Adams,Matthew Goode,Adam Scott,8-Jan,2010
AFTER,"$14,000,000.00 ","$12,138,565.00 ","$57,926,850.00 ",romance,66,18,5.3,30,41.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jenny Gage,Josephine Langford,Hero Fiennes Tiffin,Khadijha Red Thunder,12-Apr,2019
JUST GO WITH IT,"$80,000,000 ","$103,028,109 ","$214,974,953 ",romance,59,19,6.4,33,43.75,"https://m.media-amazon.com/images/M/MV5BMTM3MzM3NDE5MV5BMl5BanBnXkFtZTcwNDE5MTUxNA@@._V1_UX67_CR0,0,67,98_AL_.jpg",Dennis Dugan,Adam Sandler,Jennifer Aniston,Brooklyn Decker,11-Feb,2011
BLENDED,"$45,000,000.00 ","$46,290,741.00 ","$127,990,741.00 ",romance,64,15,6.5,31,43.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Frank Coraci,Adam Sandler,Drew Barrymore,Wendi McLendon-Covey,23-May,2014
EAT PRAY LOVE,"$60,000,000.00 ","$80,574,010.00 ","$206,598,789.00 ",romance,42,36,5.8,50,46.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ryan Murphy,Julia Roberts,Javier Bardem,Richard Jenkins,13-Aug,2010
HALLOWEEN ENDS,"$20,000,000 ","$64,079,860 ","$105,016,358 ",horror,57,40,5,47,48.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Gordon Green,Jamie Lee Curtis,Andi Matichak,James Jude Courtney,14-Oct,2022
WHITE NOISE,"$10,000,000 ","$56,094,360 ","$92,094,360 ",comedy,31,42,5.7,66,49,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Noah Baumbach,Adam Driver,Greta Gerwig,Don Cheadle,30-Dec,2022
BATMAN V SUPERMAN: DAWN OF JUSTICE,"$263,000,000.00 ","$330,360,194.00 ","$872,395,091.00 ",scifi,63,29,6.4,44,50,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,25-Mar,2016
AMSTERDAM,"$80,000,000 ","$14,947,969 ","$29,400,826 ",comedy,62,32,6.1,48,50.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David O. Russell,Christian Bale,Margot Robbie,John David Washington,7-Oct,2022
PASSENGERS,"$110,000,000.00 ","$100,014,699.00 ","$302,239,672.00 ",scifi,63,30,7,41,51,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Morten Tyldum,Jennifer Lawrence,Chris Pratt,Michael Sheen,21-Dec,2016
47 METERS DOWN: UNCAGED,"$12,000,000 ","$22,260,900 ","$47,582,563 ",horror,68,45,5,43,51.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Johannes Roberts,Sophie Nélisse,Corinne Foxx,Brianne Tju,16-Aug,2019
ROAD HOUSE,"$10,000,000 ","$30,050,028 ","$30,050,028 ",action,66,41,6.6,36,52.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Rowdy Herrington,Patrick Swayze,Kelly Lynch,Sam Elliott,19-May,1989
LAW ABIDING CITIZEN,"$53,000,000.00 ","$73,357,727.00 ","$131,159,781.00 ",crime,75,26,3.4,74,52.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,F. Gary Gray,Gerard Butler,Jamie Foxx,Leslie Bibb,16-Oct,2009
