movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_imdb_rating,movie_imdb_metascore,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
28 WEEKS LATER,"$15,000,000 ","$28,638,916 ","$64,232,714 ",horror,6.9,78,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Juan Carlos Fresnadillo,Jeremy Renner,Rose Byrne,Robert Carlyle,11-May,2007
30 DAYS OF NIGHT,"$30,000,000.00 ","$39,568,996.00 ","$80,276,156.00 ",horror,6.6,53,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Slade,Josh Hartnett,Melissa George,Danny Huston,19-Oct,2007
47 METERS DOWN,"$5,300,000 ","$44,307,193 ","$62,633,705 ",horror,5.6,52,"https://m.media-amazon.com/images/M/MV5BYTcyMDRiNDQtODRkMy00YjU0LWEwYTEtMzk3NzIzODYzMjU2XkEyXkFqcGdeQXVyMTk5MzE1MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Johannes Roberts,Mandy Moore,Claire Holt,Matthew Modine,16-Jun,2017
47 METERS DOWN: UNCAGED,"$12,000,000 ","$22,260,900 ","$47,582,563 ",horror,5,43,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Johannes Roberts,Sophie Nélisse,Corinne Foxx,Brianne Tju,16-Aug,2019
A QUIET PLACE,"$17,000,000 ","$188,024,361 ","$334,876,670 ",horror,7.5,82,"https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_UX67_CR0,0,67,98_AL_.jpg",John Krasinski,Emily Blunt,John Krasinski,Millicent Simmonds,6-Apr,2018
ALIEN: COVENANT,"$97,000,000.00 ","$74,262,031.00 ","$238,521,247.00 ",horror,6.4,65,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ridley Scott,Michael Fassbender,Katherine Waterston,Billy Crudup,19-May,2017
AMERICAN PSYCHO,"$8,000,000 ","$15,070,285 ","$34,270,285 ",horror,7.6,64,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mary Harron,Christian Bale,Justin Theroux,Josh Lucas,14-Apr,2000
ANNIHILATION,"$55,000,000.00 ","$32,732,301.00 ","$43,070,915.00 ",horror,6.8,79,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Tessa Thompson,23-Feb,2018
"AS ABOVE, SO BELOW","$5,000,000 ","$21,222,315 ","$41,824,066 ",horror,6.2,39,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,John Erick Dowdle,Perdita Weeks,Ben Feldman,Edwin Hodge,29-Aug,2014
ASSASSINATION NATION,"$7,000,000 ","$2,005,142 ","$2,852,759 ",horror,6,56,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sam Levinson,Odessa Young,Abra,Suki Waterhouse,21-Sep,2018
AWAKE,"$8,600,000 ","$14,373,825 ","$32,968,648 ",horror,4.9,35,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mark Raso,Gina Rodriguez,Ariana Greenblatt,Lucius Hoyos,9-Jun,2021
BARBARIAN,"$4,500,000 ","$40,842,944 ","$45,352,337 ",horror,7,78,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Zach Cregger,Georgina Campbell,Bill Skarsgård,Justin Long,9-Sep,2022
BLADE: TRINITY,"$65,000,000.00 ","$52,397,389.00 ","$131,353,165.00 ",horror,5.8,38,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David S. Goyer,Wesley Snipes,Kris Kristofferson,Parker Posey,8-Dec,2004
BONE TOMAHAWK,"$2,000,000 ",$0 ,"$475,846 ",horror,7.1,72,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,S. Craig Zahler,Kurt Russell,Patrick Wilson,Matthew Fox,19-Feb,2016
BRIGHTBURN,"$7,000,000 ","$17,259,427 ","$33,183,640 ",horror,6.1,44,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Yarovesky,Elizabeth Banks,David Denman,Jackson A. Dunn,24-May,2019
CABIN FEVER,"$1,500,000.00 ","$21,158,188.00 ","$30,351,664.00 ",horror,5.6,56,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Eli Roth,Jordan Ladd,Rider Strong,James DeBello,12-Sep,2003
CLOVERFIELD,"$25,000,000 ","$80,048,433 ","$171,302,226 ",horror,7,64,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Matt Reeves,Mike Vogel,Jessica Lucas,Lizzy Caplan,18-Jan,2008
