movie_name,movie_reviews_mix
CASINO,"""Now it looks like Disney Land"""
CASINO,"I enjoyed this more than ""Goodfellas"". I generally avoid violent films...which is why I resisted watching ""Casino"" for a long time. However, despite being very violent in spots, the film turned out to be very compelling....it was far more than just violence and had an interesting look at the mob influence in Las Vegas back in the day.
The film is unusual in that it has two leading men with parallel stories. Sometimes Ace and Nicky (Robert De Niro and Joe Pesci) were in scenes together....often they were apart...each doing his own thing. As for Ace, he was a smart man who was in charge of one of Vegas' top casinos. He was tough...but basically honest for a mobster. As for Nicky, as you'd expect with a Joe Pesci character, he's a bit of a nut-job....often out of control and letting anger govern most of his decisions. Unlike Ace who had a veneer of honesty about him, Nicky was a hood...and didn't mind this. Eventually, the pair end up having a downfall. How and what happens to each you'll have to see for yourself.
The parts of this film I enjoyed the most were when you learned about how Vegas operated. Seeing Ace dealing with crooked gamblers was especially interesting. And, in this sense, I enjoyed the film much more than ""Goodfellas""...also with the same stars and same director. This is because ""Goodfellas"" was mostly just about violence and crime...whereas ""Casino"" seemed to have more story and wasn't always about excessive violence and nastiness...not that the film is in any way a 'nice' picture. It's filled with obscenities, nasty folks and a few scenes of horrific violence. Think about this before you decide whether or not to see the movie.
By the way, this is only a personal choice and doesn't really affect the movie much, but one thing I did not love about the film is the omnipresent pop music....which at times made the film seem like a music video. I think less of this would have been nice."
CASINO,I Know I Am In The Minority When I Say This Was Much Better Than Goodfellas.
CASINO,"The most uncompromising studio picture of the 1990s. A complex, multilayered, beautifully directed film, Martin Scorsese's Casino is a masterpiece of destruction and betrayal. Few films take so many chances and succeed so wonderfully. It takes some of the basic formulas that were found in Goodfellas and applies them to another type of story - while Goodfellas' view was ground-level, telling the story of the ""blue collar"" gangsters of NYC, this film tells the story of the guys who controlled those guys. And it's fascinating to watch these people run Las Vegas, control the flow of money, and then fall from the heights of power due to lust, hubris, and greed. An amazing film that will hopefully get the recognition it deserves in the years to come."
CASINO,"Robert De Niro, an icon of the contemporary Hollywood crime film... Based on a true story, Martin Scorsese ""Casino"" is a motion picture about two characters and their chance to rule the desert paradise of Las Vegas We are introduced in with all the lights, the noise, the flashing and the colors of the town that doesn't sleep day or night
De Niro's character, Sam 'Ace' Rothstein, is based on Frank ""Lefty"" Rosenthal, who was a hell of a handicapper He was so good that whenever he bets, he could change the odds for every bookmaker in the country Genius at what he was doing with numbers, he proved to a lot of guys in the Chicago Mob that he was a tremendous earner that he could make a lot of money for them As a result, he was able to accomplish whatever bookmaking, handicapping, he wanted to do, with the umbrella of protection from those guys 'Ace' runs the casino with an iron fist refusing any outside people cheating at his tables
But he had a fatal flaw 'Ace' always felt that he could logically and intelligently deal with things, even to deal with emotions So he decides on making a life with a woman who, he knows, does not necessarily love him Anyway with such a sexy wife and money to burn, 'Ace' was the epitome of opulence, confidence and power
Ginger McKenna (Sharon Stone) was fascinating Great woman, truly beautiful, one of the best-known hustlers in town For her, a guy like 'Ace' was the ultimate score So the way to Ginger's heart was clearly money 'Ace' knew that but he didn't careWhat he wanted was to marry her
Sharon Stone really stood up to the challenge in her role as a casino hustler who is so wild She was young, fresh, confident, looking absolutely fantastic as the independent woman whom everybody desires
Joe Pesci succeeds in his scary tough role as the strong man who has nerve, and isn't afraid of the cops He was reportedly a mob hit man reputed to be a sadistic killer (In one scene, his character is shown torturing someone by putting his head in a vise.)
To protect his friend and adviser, Nicky (Pesci) would beat to a pulp any street guys who messed with 'Ace' or didn't give him the proper respect Over the course of their friendship Nicky delivered a number of these messages always making sure that 'Ace' didn't get his hands dirty 'Ace' witnessed several beatings on his behalf Nicky's mission was to show his worth to the family as an enforcer
The clothes on De Niro looked very straight, more dangerous and very threatening They were very important cues to his character, and again, to the progression of the story 'Ace' was an extremely fastidious guy And, of course, as you follow the story he starts out in more conservative colors and as things become more chaotic, the colors become more chaotic"
CASINO,"Entertaining, but it lacks bite and emotion"
CASINO,"Typically fantastic Scorcese film I have to admit my bias, because I believe that Scorcese cannot do wrong - ever. Even his lesser-known or critically panned films are above the ""great film"" line, and Casino is certainly no exception.
Casino spans three decades and chronicles the true story of a faction of the mob who ran Las Vegas casinos. Robert DeNiro plays Ace Rothstein, a fantastic bookie who is chosen to run the Tangiers hotel and casino. Along the way, he marries a drug-addicted con-artist trophy wife (Sharon Stone) and struggles with his friendship with loose-cannon Nicky Santoro (Joe Pesci). Rothstein is a complicated figure in that he is not a heavy, yet he wields a lot of power due to the respect he has gained from his mob bosses back home.
Robert DeNiro and Joe Pesci are both fantastic in their roles, and Sharon Stone actually turned out a non-irritating performance. As the viewer, you can't stand her, but that is the point. Scorcese's normal supporting cast are also involved in this film, including his great mother - even though she usually has incredibly minimal roles, they are always memorable.
Scorcese seems to have several different directing styles, and Casino follows in the tradition of Goodfellas as a pseudo-documentary. A lot of the exposition is revealed by the characters themselves in the form of voice-overs, and several scenes are filmed in documentarian fashion. The entire production however, is sleek and very quick. The use of music bears mentioning as well: Most Martin Scorcese films have an amazing soundtrack that adds to and enhances the scene. Being a child of the MTV age, I'm a sucker for good uses of music in films and Scorcese is a master. Scorcese doesn't just utilize the soundtrack, he makes it part of the storytelling - by the music, we chronologically know what time period we are witnessing, since one cannot rely on other factors, such as fashion alone. One of my favorite scenes in film which effectively involves music is actually from Casino - the very intense scene when the relationship between DeNiro, Stone and Pesci come to a head in the climax of the film. The pounding music cut throughout this scene is a cover of ""Satisfaction"" by Devo and the result is absolutely brilliant.
Being a complete film geek, I generally don't go to films that feature certain stars, I go to films by certain directors and Scorcese is one of them. While this was probably the tenth time I'd seen this film there were more things I noticed, and I'm sure I'll notice more upon my eleventh viewing. The man is a complete genius, and a gift to film - my suggestion is to watch some of his films, then check out his unbelievable series, ""A Personal Journey with Martin Scorcese Through American Movies"" which was done the same year as Casino. The series is essentially a primer on the history of film, sectioned off by film genres. You not only will experience his amazing intellect and massive knowledge of film history, but his incredible humility as well.
--Shelly"
CASINO,"Hugely underrated and very compelling film I don't consider Casino Scorsese's very best film(Goodfellas is my personal favourite), but it is a fantastic film and definitely one to see. It is shocking, disturbing and unflinching in places, particularly the part where a head gets squeezed in a vice, but that added to the atmosphere rather than distracted from it.
Casino is brilliantly made too. I loved the setting, the cinematography and editing are outstanding and never take away from the atmosphere, and Martin Scorsese's direction is superb. The realism the film has is always absorbing, the subplots that form the story are intriguing and the characters are adeptly drawn.
The story for me has seldom a dull moment, not with the subplots as intriguing as they are, how well made it is, how good the characters and acting are. The characters also are deliberately less endearing than are seen with Goodfellas, making it perhaps a more even portrayal of unorganised crime, but the decision to do that paid off. The acting is equally impressive. Robert DeNiro the great actor he is is incredibly charismatic, Joe Pesci gives his best performance in one of his more meatier roles and Sharon Stone(who has never been this good or even sexy before) is a revelation in a very demanding role.
Overall, hugely compelling and underrated. 10/10 Bethany Cox"
CASINO,"An underrated and undervalued Scorsese Classic If you haven't seen Casino yet, stop whatever it is you're doing, rush to the nearest video store, rent it, and watch it. Along with Mean Streets Casino is probably Scorsese's most underrated and unheralded picture. I would also venture to say that this is probably his most ambitious film. The film deals with a particular time period and a particular atmosphere and accomplishes an overwhelming achievement by creating and accurately portraying both. The art direction is splendid, most likely the best of any film Scorsese has ever done. The acting is superb. I never thought Pesci would be able to top his dynamic performance in Raging Bull until I saw Casino. Every time I watch this picture I fall in love with it all over again. This is the most honest depiction of Las Vegas, especially of the time period it was portrayed in. Scorsese's direction is flawless. Perhaps it is because I watch alot of Scorsese and Kubrick films, but I am becoming less satisfied with plot driven films and more enamored by films that possess the freedom that typical stories just don't seem to hold. Sharon Stone gives the best performance of her career, and as far as the editing is concerned, well if you believe like Kubrick and Pudovkin that a film is not shot, but built who better to have on your team than long time cohort, collaborator, and editor Thelma Schoonmaker. Ultimately, the genius of Scorsese is not just in the mastery of the medium, but in the understanding and appreciation for the necessity of great collaborators on all levels that Scorsese has consistently utilized throughout his career. Casino exemplifies not only the best of a Scorsese film, but transcends it. This film is truly a gem."
CASINO,"A Can't-Miss Story No Matter How Told As a lifelong gambler who has crossed paths with a few fringe types portrayed in the film, I'm well aware of the story, the culture, and the ambiance of the Tangiers, the fictional casino placed in the control of Sam ""Ace"" Rothstein (Robert Deniro). Rothstein is not a mob member, but a ""moneymaker"" for them because he's the nation's best sports handicapper. It was refreshing for a movie to finally show that not all gamblers are stupid, but instead one of those who takes advantage of the many who are.
Rothstein's partner in crime is Nicky Santoro (Joe Pesci), who is far less convincing as a mobster than he would seem to like to believe. Sharon Stone plays the psychotic Ginger, a once-in-a-lifetime role in that it was the only time in my life I could bear to watch her on film. The supporting cast is strong, led by James Woods and Don Rickles (excellent in his dramatic capacity), and the movie is generally well-acted.
If you are a gambler or know the ""wiseguy"" culture, the movie doesn't have to be explained, while if you aren't, you'll feel like you've stumbled upon the secret meeting place of the mafia and made privy to what is said, without anyone knowing you were there. This film is based on the true story of what happened when the mob tried to put its men in suits and have them heading a casino, and why it has never been tried since. The homage paid to the incestuous nature of Nevada politics was an excellent touch.
Most of us wouldn't like a guy like Sam Rothstein, nor would we like to be him, but if we go to Vegas for a weekend and stay at a casino/hotel, we'll have a better experience if his watchful eye is ensuring that our stay is a pleasant one. The film's nod to how Vegas has been sanitized since those days is also accurate, and reflects sadness at a lost era, where the baby (the ""old school"" types who made Vegas great) was thrown out with the bathwater (the organized crime influences)."
